Designator,Footprint,Quantity,Value,LCSC Part #
"3.3V_2, 3.3V, GND_2, GND, GPIO11, GPIO12, GPIO13, GPIO15, GPIO18, GPIO19, GPIO20, GPIO21",TestPoint_THTPad_D1.5mm_Drill0.7mm,12,TestPoint,
"BT1, BT2",BatteryHolder_Multicomp_BC-2001_1x2032,2,Battery_Cell,
"C1, C10",0402,2,1uF,
"C11, C12, C17, C2, C21, C3, C4, C5, C6, C7, C8, C9",0402,12,0.1uF,
"C13, C14, C19, C20",0603,4,10uF,
"C15, C16",0402,2,33pF,
"D1, D2, D3, D4, D5, D6, D7, D8",0201,8,LED,
J3,PinHeader_1x03_P2.54mm_Horizontal,1,Conn_01x03,
J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
L1,L_APV_ANR3015,1,4.7uH,
"R1, R2",0402,2,5.1K,
"R10, R11, R12, R13, R14, R15, R16, R17, R5, R6",0402,10,1k,
"R18, R7",0402,2,10k,
"R3, R4",0402,2,27,
"R8, R9",0402,2,4.7k,
"RESET, RUN",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-23,1,MCP1700x-330xxTT,
U3,Texas_R-PDSO-G6,1,TPS61221DCK,
U4,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ TR,
U5,LIS2DS12,1,LIS2DW12,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,
