Designator,Mid X,Mid Y,Rotation,Layer
3.3V_2,62.47,-119.95,0.0,top
3.3V,85.52,-119.85,0.0,top
BT1,97.095,-89.175,90.0,bottom
BT2,50.595,-89.275,270.0,bottom
C1,78.901461,-84.624888,0.0,top
C10,76.69,-95.1875,270.0,top
C11,73.551461,-80.524888,90.0,top
C12,76.501461,-83.924888,90.0,top
C13,70.051461,-69.674888,180.0,top
C14,70.851461,-75.124888,180.0,top
C15,70.415,-97.1375,270.0,top
C16,75.665,-97.1375,270.0,top
C17,71.601461,-79.024888,180.0,top
C19,76.42,-72.775,180.0,top
C2,77.476461,-84.324888,90.0,top
C20,64.07,-88.875,90.0,top
C21,63.745,-90.875,180.0,top
C3,75.501461,-80.099888,90.0,top
C4,74.501461,-80.774888,90.0,top
C5,78.876461,-85.624888,0.0,top
C6,78.905,-89.475,0.0,top
C7,75.69,-95.1875,270.0,top
C8,69.076461,-85.149888,180.0,top
C9,68.77,-89.425,180.0,top
D1,52.595,-68.875,0.0,top
D2,45.595,-80.95,0.0,top
D3,45.645,-97.475,0.0,top
D4,52.845,-109.65,0.0,top
D5,94.8525,-109.65,180.0,top
D6,102.32,-97.5,180.0,top
D7,102.22,-80.875,180.0,top
D8,95.245,-68.95,180.0,top
GND_2,82.145,-120.95,0.0,top
GND,65.82,-120.975,0.0,top
GPIO11,50.545,-112.2,0.0,top
GPIO12,53.02,-114.55,0.0,top
GPIO13,55.97,-116.675,0.0,top
GPIO15,59.12,-118.5,0.0,top
GPIO18,88.845,-118.4,0.0,top
GPIO19,91.82,-116.8,0.0,top
GPIO20,94.82,-114.5,0.0,top
GPIO21,97.295,-112.275,0.0,top
J3,73.845,-108.525,270.0,bottom
J4,73.826461,-63.524888,180.0,top
L1,79.845,-72.45,0.0,top
R1,75.276461,-69.899888,270.0,top
R10,60.27,-77.025,0.0,top
R11,57.195,-81.85,0.0,top
R12,57.47,-96.925,0.0,top
R13,60.135,-100.925,0.0,top
R14,87.795,-100.85,180.0,top
R15,90.145,-97.025,180.0,top
R16,90.32,-81.15,180.0,top
R17,87.585,-77.0,180.0,top
R18,78.295,-94.95,0.0,top
R2,72.101461,-69.899888,90.0,top
R3,75.526461,-83.299888,270.0,top
R4,74.526461,-83.299888,90.0,top
R5,74.155,-94.7875,180.0,top
R6,73.158539,-101.052612,270.0,top
R7,69.326461,-79.024888,0.0,top
R8,68.095,-86.425,180.0,top
R9,68.745,-88.075,180.0,top
RESET,70.633539,-102.012612,90.0,top
RUN,75.833539,-101.987612,90.0,top
U1,73.826461,-89.024888,90.0,top
U2,70.851461,-72.399888,270.0,top
U3,78.295,-75.8,0.0,top
U4,70.326461,-81.024888,0.0,top
U5,66.2075,-89.525,180.0,top
Y1,73.04,-97.1375,180.0,top
